label,lat,lon
comp,42.6682623,-83.2193709
comp,42.6681206,-83.2193606
comp,42.6680766,-83.2193592
comp,42.6679277,-83.2193276
compNorth,42.66827,-83.21934
compNorth,42.668121,-83.219361
compNorth,42.668077,-83.219359
compNorth,42.667928,-83.219328
compSouth,42.667928,-83.219328
compSouth,42.668077,-83.219359
compSouth,42.668121,-83.219361
compSouth,42.66827,-83.21934
normanTest,35.210475,-97.441927
normanTest,35.210476,-97.442321
normanTest,35.210599,-97.442323
normanTest,35.210599,-97.442096
practiceNorth,42.668212,-83.218459
practiceNorth,42.668086,-83.218446
practiceNorth,42.66796,-83.218433
practiceSouth,42.66796,-83.218433
practiceSouth,42.668086,-83.218446
practiceSouth,42.668212,-83.218459
simulationNorth,35.19510000,-97.43895000
simulationNorth,35.19491000,-97.43896000
simulationNorth,35.1948357,-97.43896
simulationNorth,35.19467540,-97.43895
simulationSouth,35.19467540,-97.43895
simulationSouth,35.1948357,-97.43896
simulationSouth,35.19491000,-97.43896000
simulationSouth,35.19510000,-97.43895000
simulationPractice,35.194725,-97.43858
simulationPractice,35.1947823,-97.4387
simulationPractice,35.1948547,-97.43876
simulationPractice,35.1949272,-97.43867
simulationPractice,35.1950035,-97.43881